ID do Produto;Transação;Operação (Entrada/Saída);Data de Entrada;Data de Saída;Quantidade;Data de Validade
57;45ddd8fe-9fa4-47e4-bf4a-8a338cf4ccad;Entrada;2024-03-28;;1;2025-02-16
43;c0846d29-a752-4340-814d-afa34f1df706;Saída;;2024-03-02;2;2024-06-06
15;f163e85d-d664-4f00-b4bc-e267796cd3e8;Entrada;2024-03-14;;3;2025-01-07
44;9ed7d5f5-8302-4295-9b6f-ac135316811d;Saída;;2024-03-25;4;2025-01-10
14;f291f4d3-5e14-493a-b8dc-b14cbd84d7e2;Entrada;2024-03-29;;5;2024-06-13
40;6f459da9-4560-4e3d-91e7-81b6d25442f6;Saída;;2024-03-12;6;2024-08-08
23;f500ca31-8db2-4222-8811-b0d07c3cffce;Entrada;2024-03-05;;7;2024-05-29
24;adc1959e-d9b1-49ae-9cef-4dd79c825f42;Saída;;2024-03-16;8;2024-03-31
2;f5139090-9d7b-427a-b781-507534409a57;Entrada;2024-03-15;;9;2024-08-23
37;79b458d8-0b49-4d3e-be10-1ab65108dc9b;Saída;;2024-03-09;10;2024-10-02
6;307d2007-db46-42c2-bebb-df4198190c68;Entrada;2024-03-09;;11;2024-11-20
66;380e5806-ef8e-49d6-b2fb-2da6b22674df;Saída;;2024-03-18;12;2024-05-04
30;416fb164-5d1d-42fc-a0c8-ea46fe4fc0a7;Entrada;2024-03-18;;13;2024-03-25
11;3fdfdecb-019e-41b1-a5a8-88320cbb34a4;Saída;;2024-03-29;14;2024-07-03
31;e2689198-75fc-477d-a213-f9c96595e23e;Entrada;2024-03-15;;15;2024-07-18
68;9855c956-204e-455e-a28e-bfb3bc6cafd7;Saída;;2024-03-10;16;2024-10-16
38;4ea5f8bf-bd9b-42bf-bde7-1ee0eb32d201;Entrada;2024-03-03;;17;2024-06-19
59;d1062443-7366-44f6-9864-653422d723fe;Saída;;2024-03-28;18;2024-09-23
29;08b1d6e5-b44d-4e42-8a65-c1b81d1fb36b;Entrada;2024-03-10;;19;2025-01-28
71;09cb7fd9-53ca-4835-a906-fd12662b6ec4;Saída;;2024-03-05;20;2024-03-25
66;89842b6f-0699-4478-a493-b898317ac566;Entrada;2024-03-03;;21;2024-06-15
52;c2684607-f8d5-4a90-87a4-239aea79d539;Saída;;2024-03-20;22;2025-01-05
57;cb241fbe-7de1-4c77-811c-6a0e1439fe62;Entrada;2024-03-13;;23;2024-12-25
60;c702d1ac-9495-48b4-9c99-c353d8e77941;Saída;;2024-03-08;24;2024-04-29
32;9a65f68a-522f-491f-83a5-f20e77642fb9;Entrada;2024-03-07;;25;2024-11-27
27;bcc721aa-fb71-43ad-b999-1c9491174f63;Saída;;2024-03-11;26;2024-08-13
80;89141886-0977-43f8-a676-72eaff977aac;Entrada;2024-03-05;;27;2025-01-20
10;bb98eee8-7fb7-49d0-804f-7af6db0d1cfc;Saída;;2024-03-19;28;2024-08-27
6;868501a9-f3dc-4e79-8155-450513622171;Entrada;2024-03-12;;29;2025-02-21
13;be90a353-88d3-4146-a16f-21c6fa433d97;Saída;;2024-03-10;30;2024-11-22
39;1416dbb3-72f8-468c-badc-8468012c1b7c;Entrada;2024-03-13;;31;2024-06-03
2;20e37b9a-9a42-48e2-a881-4c855d41619f;Saída;;2024-03-07;32;2024-10-07
49;575940bf-b70f-468d-95c7-1504af8479d2;Entrada;2024-03-15;;33;2024-11-05
17;efe9aff7-e19f-429f-8f58-0d94f02948ee;Saída;;2024-03-15;34;2025-02-16
67;b4bfb2c1-f932-458d-a13c-b29c94c4936a;Entrada;2024-03-18;;35;2025-01-01
1;02368a93-f70d-4754-a2ed-c594692d2c9b;Saída;;2024-03-30;36;2024-09-09
13;0d0f1cfa-f229-4fd3-93e7-032d1710a229;Entrada;2024-03-04;;37;2024-11-29
73;2abe04b6-8234-4b2a-bf64-49d4eea31905;Saída;;2024-03-12;38;2024-06-05
10;600e908e-79a0-4ec1-9211-b9824563e2e9;Entrada;2024-03-09;;39;2024-10-26
76;ad2fc1c6-6e30-4f17-9231-e7dd3e6412bb;Saída;;2024-03-03;40;2024-03-15
67;d46ba16e-1892-4a29-9805-623b4bf29457;Entrada;2024-03-07;;41;2024-03-05
72;e3ffe680-976d-4c33-a8f0-7204a88d478c;Saída;;2024-03-13;42;2024-08-30
42;16d11ebc-3124-4d9e-87f2-d395286173d1;Entrada;2024-03-04;;43;2024-09-04
40;4af61296-df0a-47c9-b112-1ffe26f5a9cd;Saída;;2024-03-18;44;2024-08-14
36;cc9d5394-9e50-4c12-9718-0a34beef461e;Entrada;2024-03-19;;45;2024-04-13
15;0cb3b129-7e5f-4c69-94d7-a4add63db456;Saída;;2024-03-06;46;2024-09-27
68;83e346d2-0de8-4c9f-98a8-86ee224bf58f;Entrada;2024-03-02;;47;2024-11-23
50;48297879-ce4c-4d6e-897e-16b59fce9295;Saída;;2024-03-09;48;2024-12-31
16;2c723e36-421b-42b8-8eb7-07246285188b;Entrada;2024-03-30;;49;2024-03-18
24;2c2f8a94-f423-4068-bfe8-c2cda12b5aeb;Saída;;2024-03-14;50;2024-09-12
32;83a57c6e-f6c8-4632-b808-7b17a344d9eb;Entrada;2024-03-18;;51;2025-01-22
47;91e752a0-a82d-44d6-8c09-39de6b5dd97e;Saída;;2024-03-12;52;2024-06-18
65;d6054cbb-c85c-4617-9d24-e05d5a6219b1;Entrada;2024-03-22;;53;2024-06-12
12;78608c07-6966-4957-93e1-86c3d826303f;Saída;;2024-03-25;54;2024-06-06
16;242842bc-02ab-4165-98b4-e96bc7456451;Entrada;2024-03-03;;55;2024-10-31
65;db446f09-ba35-4f26-8f46-b800ff832e06;Saída;;2024-03-18;56;2024-03-14
71;69707396-49c1-4c63-98e8-fad28ba4d8c6;Entrada;2024-03-20;;57;2025-01-02
41;5c698f6e-4e16-43de-82a5-9b6a55086206;Saída;;2024-03-30;58;2025-02-13
70;339a547a-16ac-42f9-895b-3339a48b298b;Entrada;2024-03-06;;59;2024-11-09
24;31b92db0-91bf-4c91-bfe1-d69270994677;Saída;;2024-03-28;60;2024-12-03
50;b63f7f18-83ee-4f45-ad31-58c753f1f288;Entrada;2024-03-23;;61;2024-05-10
74;63d62ec8-d05c-4525-8687-fe3ddb09505c;Saída;;2024-03-08;62;2024-07-03
37;4fbdf2ec-f533-4c87-9742-57f5a1f74d29;Entrada;2024-03-28;;63;2024-11-03
36;58003fdd-61b4-4ddd-a561-4f2c77e74ff0;Saída;;2024-03-02;64;2024-09-13
49;a1506fa3-2014-457e-8a63-5768e33305a2;Entrada;2024-03-01;;65;2024-06-24
22;cf5a1c6a-5eb1-4d41-8da6-1fa6b8d6e5cb;Saída;;2024-03-07;66;2024-12-14
65;566c1ae4-0a6c-4c9d-abf5-f4efc4fd4752;Entrada;2024-03-02;;67;2024-08-01
70;a465c16c-e413-4c0f-9a4d-03c82c629704;Saída;;2024-03-09;68;2024-10-01
66;06f3c88d-9aa4-4a51-95c4-be889041bb6e;Entrada;2024-03-22;;69;2025-01-17
14;59e79f34-1d4d-4b34-9b26-0bc3c9e37eb6;Saída;;2024-03-23;70;2024-11-04
43;8f1af91e-dd67-4486-8884-bcf03d4e1668;Entrada;2024-03-25;;71;2025-02-26
29;f939120c-2f60-4a90-8256-186550d73f49;Saída;;2024-03-20;72;2024-06-30
34;087bd741-3417-49c1-b018-c0592f765cf5;Entrada;2024-03-26;;73;2024-09-17
12;983f647b-5db8-41f7-b24e-8385d21cf8cd;Saída;;2024-03-09;74;2024-11-10
45;0548d28f-b64d-4e1f-adc2-ec44855a89f2;Entrada;2024-03-19;;75;2024-05-07
55;bcbdcafd-5ff3-4e8a-9381-4a78d1aca79f;Saída;;2024-03-23;76;2025-02-03
9;f504b377-cbcb-44da-b3c7-15614d3b166f;Entrada;2024-03-30;;77;2024-08-14
72;07839c4a-d7ee-475e-94b4-6c65476b9932;Saída;;2024-03-29;78;2024-09-12
21;a65037cd-ac91-4525-b591-d0ca0006793a;Entrada;2024-03-21;;79;2025-02-03
30;76967c13-36cb-470f-bd5a-6bacc0877721;Saída;;2024-03-07;80;2025-02-14
58;8bb561d1-598a-4699-bd6c-af329a2cd82f;Entrada;2024-03-24;;81;2024-07-09
13;49928805-4c46-420f-886c-c3aeb020d110;Saída;;2024-03-03;82;2024-05-10
29;d0551b3c-c446-4aac-83f9-9ef9bc14f543;Entrada;2024-03-08;;83;2024-05-04
60;610e750b-e2a6-4885-a088-1a5361deb1f5;Saída;;2024-03-07;84;2024-08-04
63;06f31a39-6a06-4591-a751-8f641d7de81c;Entrada;2024-03-01;;85;2025-01-23
71;32890629-7919-4164-bc72-8cc01d988283;Saída;;2024-03-10;86;2024-03-14
77;9232ac13-9636-4502-82ac-77ca64d0d0d1;Entrada;2024-03-21;;87;2025-01-28
61;00763de7-fe5c-41ca-adea-f690c3b17b51;Saída;;2024-03-06;88;2024-12-20
71;5ea4260b-7d99-4fce-bee1-5f97ababadda;Entrada;2024-03-29;;89;2024-09-12
33;45dee29a-181e-436d-a54d-00f0c486d591;Saída;;2024-03-17;90;2024-03-21
41;b2b0b65f-edb5-4b1c-a240-d0a4b3edd3af;Entrada;2024-03-10;;91;2024-05-13
22;b7b8929d-eb40-483f-9b09-47b1047e7807;Saída;;2024-03-09;92;2024-04-11
19;f1fd0c23-dd16-422f-bec4-5b2649b19efb;Entrada;2024-03-04;;93;2024-10-28
74;85b86a03-23fb-4628-b6b4-5576f86e5564;Saída;;2024-03-04;94;2024-11-29
40;26cf1631-a079-43f3-8de0-700c9f881ce7;Entrada;2024-03-15;;95;2024-03-25
54;b08c2316-207b-4654-bf22-a28aa933771b;Saída;;2024-03-11;96;2024-04-14
58;40e082fa-42e7-4f4f-9433-05e423ca2eaa;Entrada;2024-03-20;;97;2024-06-25
23;c74eb098-1c0b-465d-aa0c-3c8be4194b01;Saída;;2024-03-28;98;2024-06-26
15;89534a4a-08c4-4440-98f5-daeaa8efaaf4;Entrada;2024-03-19;;99;2025-01-13
24;58b96a7b-f9ad-49af-a0e1-853291797c01;Saída;;2024-03-26;100;2024-06-26
4;c9c0ac55-c888-4923-878a-946fd403af43;Entrada;2024-03-26;;101;2025-01-14
7;0ead462f-d7fd-4db0-b52b-202f94d2ea46;Saída;;2024-03-30;102;2024-08-26
1;f99a9b74-3200-4388-b1cb-0a8521c40c30;Entrada;2024-03-04;;103;2024-10-25
3;52eb5373-c174-431a-93f0-86de8308b0d6;Saída;;2024-03-20;104;2024-03-21
5;8735e866-aa60-43b8-a8de-36119fc46332;Entrada;2024-03-11;;105;2024-06-24
55;4cd70f65-cbc6-413d-84b1-0abc1ee8f4bb;Saída;;2024-03-06;106;2024-05-18
47;a9d12484-7f94-49d3-98bf-1ea7c1c31d54;Entrada;2024-03-25;;107;2024-07-16
57;9bd12153-e846-4e61-a828-972ca4d978c7;Saída;;2024-03-20;108;2024-09-13
40;ecf21dde-f2f3-41da-ae8b-820732c650dc;Entrada;2024-03-06;;109;2024-09-21
75;d44709c9-af95-4ea9-9289-3aed1c69919f;Saída;;2024-03-14;110;2024-04-23
39;8f26e1be-5978-4311-9488-d4a810d42ad7;Entrada;2024-03-18;;111;2025-01-26
21;d5b4f5fe-8f4b-4311-b4e1-4982ddaff70f;Saída;;2024-03-23;112;2025-02-02
10;7ff36f43-ebbb-430a-9774-df42e338e089;Entrada;2024-03-23;;113;2025-02-21
23;d84459a3-7a4f-480d-b79f-c4a740065416;Saída;;2024-03-25;114;2024-12-04
1;d1b09539-2194-4ee0-8601-1c4b3e3e4e93;Entrada;2024-03-02;;115;2025-02-28
44;eaf42278-24fa-476d-9d0c-03f24b665de3;Saída;;2024-03-04;116;2024-07-01
79;d304155f-a99f-406f-9a5e-c3906eb71e9f;Entrada;2024-03-14;;117;2025-01-14
53;107bbfa6-619a-451a-82d7-a0d255d959de;Saída;;2024-03-24;118;2024-09-03
68;430be735-efe7-48b1-a71a-7a10894f8505;Entrada;2024-03-14;;119;2024-09-15
51;76bd5763-ead2-48dc-8d8e-74d372509326;Saída;;2024-03-15;120;2024-04-12
59;07b2b106-4803-4a83-90bf-76a420652329;Entrada;2024-03-27;;121;2024-06-23
7;8557e7f4-5f22-435a-9aca-8d11e6d75d9a;Saída;;2024-03-19;122;2024-08-14
35;b925ca37-5993-4e9b-8168-42b886cc712b;Entrada;2024-03-12;;123;2025-01-30
5;ff180ca0-d4fa-40f6-8f15-797ff9eae605;Saída;;2024-03-30;124;2024-09-17
27;f1df790f-bfcd-49b7-940b-7bd1038905d8;Entrada;2024-03-23;;125;2024-03-30
40;bed58b76-5678-4f91-8edb-94068762c875;Saída;;2024-03-04;126;2024-09-09
47;0f044bc9-ffa9-4e47-bb1d-ff6703d99c78;Entrada;2024-03-12;;127;2024-03-05
17;a438d887-518e-4c1f-b95c-a7de08c290fd;Saída;;2024-03-22;128;2024-10-21
20;d4d62d5e-9642-4478-a57d-cd798d70a906;Entrada;2024-03-03;;129;2024-09-13
21;d2e085ba-abdd-411c-b815-411523862dae;Saída;;2024-03-02;130;2024-12-01
3;173b0aba-0fcc-4c18-8788-fcea64e2abb5;Entrada;2024-03-22;;131;2025-02-04
47;16ee6193-5dac-4d3b-a7e6-10196ce93cbb;Saída;;2024-03-19;132;2024-11-03
33;b8c724af-55c7-446f-ab2f-3036cb6cbbb9;Entrada;2024-03-29;;133;2024-11-09
27;b1c74cdf-9087-4247-b9cd-7aa5b4cd53c8;Saída;;2024-03-14;134;2024-09-08
7;5d6a8a8d-a0c6-4aea-baf7-531f2fd954a5;Entrada;2024-03-25;;135;2024-11-22
7;d058b79c-0a02-4749-a306-6afcb2306cfa;Saída;;2024-03-06;136;2024-12-07
23;6063d45b-510f-4a4d-a233-fea2a9377205;Entrada;2024-03-12;;137;2024-03-07
16;7cd1ffcd-b7d8-456c-858b-a882d3f1bb63;Saída;;2024-03-04;138;2024-04-29
76;c20ca639-2cc3-4a42-937b-1e2fcc27fbb6;Entrada;2024-03-05;;139;2024-08-14
69;14d1ab81-c536-4700-81d0-0eac5541dadc;Saída;;2024-03-17;140;2024-09-16
21;b14c9fe1-b5bc-497e-aaa3-b13b6f79e8ee;Entrada;2024-03-10;;141;2024-03-12
62;98d6658b-b70c-411c-89b1-3899118b059d;Saída;;2024-03-26;142;2025-02-21
38;40481774-220a-41f1-b460-6ac91b78b466;Entrada;2024-03-11;;143;2024-05-13
48;0ef0ebf1-5294-48b2-8aaf-93540198478b;Saída;;2024-03-04;144;2024-03-31
57;0e0cb0ba-eb87-4634-bec9-5832836de5c2;Entrada;2024-03-05;;145;2024-06-02
42;dc39a487-9bc7-4ecb-a89f-bc63e81badbf;Saída;;2024-03-26;146;2025-02-11
60;e9f08577-1a6b-45fa-846e-80849263ed04;Entrada;2024-03-06;;147;2024-10-05
78;ab9119da-fb7d-4500-aca0-6e42aa286773;Saída;;2024-03-27;148;2024-03-05
28;24442069-bd51-4a5b-afef-1625724006ba;Entrada;2024-03-26;;149;2024-05-29
58;87be1af2-9a5c-4777-aed2-5dd3881ba541;Saída;;2024-03-10;150;2024-07-13
33;fc72a00b-3ec7-4970-8d29-35b1996b2590;Entrada;2024-03-14;;151;2024-05-10
33;aec4facf-cd3d-4c37-8750-c6de30a88830;Saída;;2024-03-22;152;2024-12-23
25;b826b71f-4bfb-4f0c-9062-050fb25339d7;Entrada;2024-03-18;;153;2024-04-26
74;828c0adf-98df-497d-9550-55d8b199b525;Saída;;2024-03-21;154;2024-07-29
26;8e5ef306-34d5-4d49-ae83-41facdf3dec8;Entrada;2024-03-27;;155;2024-12-31
77;cd08c911-e74c-4a71-b9df-e19446b66ccc;Saída;;2024-03-12;156;2024-04-11
56;eb6607d5-6507-41d7-b5cc-92bd86d605fb;Entrada;2024-03-11;;157;2024-05-17
2;fe74a7f5-f5b7-43c1-b5e7-d0c1b58dd52f;Saída;;2024-03-11;158;2025-02-27
41;c2976d83-1754-4852-a337-266b506ad617;Entrada;2024-03-03;;159;2024-07-22
11;02110054-d609-4024-8e71-10e0386da59a;Saída;;2024-03-18;160;2025-01-29
79;b948d304-3fca-4957-b2df-b672b7400526;Entrada;2024-03-26;;161;2025-01-18
5;cf1b17aa-9aed-416d-b42c-9b737c1643d1;Saída;;2024-03-12;162;2024-11-15
8;fa260e8d-e37e-49b7-8d59-114bcc19866e;Entrada;2024-03-11;;163;2024-06-08
20;ad65fd8e-d160-4afa-96d5-ac3183ee7975;Saída;;2024-03-06;164;2024-05-20
